state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,5074296.0,"Abbeville, Alabama",1171163550,C
Alabama,East South Central,5074296.0,"Adamsville, Alabama",1177621427,C
Alabama,East South Central,5074296.0,"Addison, Alabama",1168359898,C
Alabama,East South Central,5074296.0,"Akron, Alabama",1165909508,GA
Alabama,East South Central,5074296.0,"Alabaster, Alabama",1179139816,C
Alabama,East South Central,5074296.0,"Albertville, Alabama",1179198677,C
Alabama,East South Central,5074296.0,"Alexander City, Alabama",1179140073,GA
Alabama,East South Central,5074296.0,"Aliceville, Alabama",1167792390,GA
Alabama,East South Central,5074296.0,"Allgood, Alabama",1165909718,C
Alabama,East South Central,5074296.0,"Altoona, Alabama",1165909823,C
Alabama,East South Central,5074296.0,"Andalusia, Alabama",1179141586,C
Alabama,East South Central,5074296.0,"Anderson, Lauderdale County, Alabama",662691565,Stub
Alabama,East South Central,5074296.0,"Anniston, Alabama",1176049382,C
Alabama,East South Central,5074296.0,"Arab, Alabama",1171375371,C
Alabama,East South Central,5074296.0,"Ardmore, Alabama",1176903479,GA
Alabama,East South Central,5074296.0,"Argo, Alabama",1177623964,C
Alabama,East South Central,5074296.0,"Ariton, Alabama",1166014478,C
Alabama,East South Central,5074296.0,"Arley, Alabama",1166014498,C
Alabama,East South Central,5074296.0,"Ashford, Alabama",1166014593,C
Alabama,East South Central,5074296.0,"Ashland, Alabama",1174331705,C
Alabama,East South Central,5074296.0,"Ashville, Alabama",1148844011,C
Alabama,East South Central,5074296.0,"Athens, Alabama",1175308807,C
Alabama,East South Central,5074296.0,"Atmore, Alabama",1167926420,C
Alabama,East South Central,5074296.0,"Attalla, Alabama",1165507856,C
Alabama,East South Central,5074296.0,"Auburn, Alabama",1179878794,C
Alabama,East South Central,5074296.0,"Autaugaville, Alabama",1166014815,C
Alabama,East South Central,5074296.0,"Avon, Alabama",1166014861,Start
Alabama,East South Central,5074296.0,"Babbie, Alabama",1168820544,Start
Alabama,East South Central,5074296.0,"Baileyton, Alabama",1166014939,C
Alabama,East South Central,5074296.0,"Bakerhill, Alabama",1166014954,Start
Alabama,East South Central,5074296.0,"Banks, Alabama",1166014997,C
Alabama,East South Central,5074296.0,"Bay Minette, Alabama",1177963600,C
Alabama,East South Central,5074296.0,"Bayou La Batre, Alabama",1177999052,C
Alabama,East South Central,5074296.0,"Bear Creek, Alabama",1166015184,GA
Alabama,East South Central,5074296.0,"Beatrice, Alabama",1166015214,C
Alabama,East South Central,5074296.0,"Beaverton, Alabama",1166015251,Start
Alabama,East South Central,5074296.0,"Belk, Alabama",1166015313,C
Alabama,East South Central,5074296.0,"Benton, Alabama",1166015434,C
