state,regional_division,total_articles,total_articles_per_capita
North Carolina,South Atlantic,50,4.673345750101435e-06
Nevada,Mountain,19,5.979031849987979e-06
California,Pacific,482,1.2349682964165781e-05
Arizona,Mountain,91,1.2365479548923613e-05
Virginia,South Atlantic,133,1.5316194780079595e-05
Florida,South Atlantic,412,1.8521163328654042e-05
Oklahoma,West South Central,75,1.8657644658938256e-05
Kansas,West North Central,63,2.144936417956182e-05
Maryland,South Atlantic,157,2.5467746801932305e-05
Wisconsin,East North Central,192,3.258357730003993e-05
