state,regional_division,high_quality_articles,high_quality_articles_per_capita
Pennsylvania,Middle Atlantic,12.0,9.250688097016283e-07
Virginia,South Atlantic,18.0,2.072868466476938e-06
Arizona,Mountain,24.0,3.261225375540293e-06
California,Pacific,173.0,4.4325625576777595e-06
Florida,South Atlantic,119.0,5.349559310946192e-06
Tennessee,East South Central,39.0,5.530864421636798e-06
Maryland,South Atlantic,42.0,6.813027806886349e-06
Kansas,West North Central,22.0,7.490254157942223e-06
Georgia,South Atlantic,93.0,8.522043135100225e-06
Massachusetts,New England,62.0,8.880010151856767e-06
